sqft,bdrms,age,ocean_proximity,median_income,population,price
1783,395,52,NEAR BAY,2.9357,1659,107900
999,264,30,NEAR BAY,1.8854,1011,137500
1469,431,39,NEAR BAY,2.1638,1464,105500
1372,395,47,NEAR BAY,2.125,1237,95500
674,180,52,NEAR BAY,3.375,647,116100
1626,376,43,NEAR BAY,2.2542,1284,112200
175,43,51,NEAR BAY,2.1,228,75000
461,129,39,NEAR BAY,1.6,381,112500
902,237,52,NEAR BAY,3.625,846,125000
2373,779,20,NEAR BAY,1.6929,1659,115000
391,128,52,NEAR BAY,1.6471,520,95000
1137,301,52,NEAR BAY,2.59,866,96400
769,206,52,NEAR BAY,2.57,612,72000
472,146,52,NEAR BAY,2.6429,415,71300
862,215,52,NEAR BAY,3.0257,994,80800
1920,530,50,NEAR BAY,1.4886,1525,128800
1420,472,43,NEAR BAY,1.9338,1506,112500
986,258,52,NEAR BAY,1.4844,1008,119400
2340,825,44,NEAR BAY,1.6009,2813,118100
1696,396,48,NEAR BAY,2.0375,1481,122500
1175,217,49,NEAR BAY,2.293,859,106300
2343,574,37,NEAR BAY,2.1494,1608,132500
610,145,30,NEAR BAY,1.6198,425,122700
930,199,40,NEAR BAY,1.3281,564,113300
1487,314,44,NEAR BAY,3.5156,961,109500
3424,690,52,NEAR BAY,3.9048,2273,164700
762,190,52,NEAR BAY,3.0893,600,125000
2366,575,46,NEAR BAY,2.6042,1647,124700
1826,450,49,NEAR BAY,2.5,1201,136700
3049,711,38,NEAR BAY,2.7969,2167,141700
1640,376,29,NEAR BAY,2.8321,939,150000
1543,307,47,NEAR BAY,2.9583,859,138800
2364,557,34,NEAR BAY,2.8365,1517,139200
1745,409,35,NEAR BAY,2.875,1143,143800
2003,500,39,NEAR BAY,3.0682,1109,156500
2018,447,39,NEAR BAY,3.0757,1221,151000
3045,499,43,NEAR BAY,4.9559,1115,273000
1547,293,52,NEAR BAY,4.7721,706,217100
3519,711,52,NEAR BAY,3.4861,1883,187100
2070,354,41,NEAR BAY,5.1184,804,239600
1321,263,48,NEAR BAY,4.0977,506,229700
1694,259,48,NEAR BAY,4.744,610,257300
1938,341,46,NEAR BAY,4.2727,768,246900
968,195,50,NEAR BAY,2.9844,462,179900
1060,256,40,NEAR BAY,4.1739,667,169600
2041,405,46,NEAR BAY,3.8487,1059,203300
1813,271,52,NEAR BAY,4.0114,637,263400
2718,451,45,NEAR BAY,4.6563,1106,231800
3144,761,28,NEAR BAY,2.9297,1737,140500
1802,459,35,NEAR BAY,2.3036,1009,126000
882,195,49,NEAR BAY,2.6667,737,122000
1621,452,44,NEAR BAY,2.619,1354,134700
2115,533,45,NEAR BAY,2.4167,1530,139400
2021,528,45,NEAR BAY,2.7788,1410,115400
2239,508,46,NEAR BAY,2.7352,1390,137300
1477,300,52,NEAR BAY,1.8472,1065,137000
1056,224,52,NEAR BAY,2.6583,792,142600
898,244,49,NEAR BAY,3.0536,779,137500
2968,710,44,NEAR BAY,2.3906,2269,111700
1702,460,43,NEAR BAY,1.7188,1227,126800
881,248,47,NEAR BAY,2.625,753,111300
494,114,40,NEAR BAY,2.8015,547,114800
1776,473,50,NEAR BAY,1.7276,1807,102300
1678,514,44,NEAR BAY,2.0801,1700,131900
1637,463,51,NEAR BAY,2.489,1543,119100
1420,314,52,NEAR BAY,1.7546,1085,80600
591,173,52,NEAR BAY,4.0904,353,80600
745,153,52,NEAR BAY,2.6765,473,88800
2272,498,49,NEAR BAY,2.4338,1621,102400
1234,375,46,NEAR BAY,2.3309,1183,98700
1017,328,43,NEAR BAY,2.2604,836,100000
932,254,42,NEAR BAY,1.8039,900,92300
2689,597,39,NEAR BAY,2.2562,1888,94800
1547,415,41,NEAR BAY,2.0562,1024,102000
2300,443,52,NEAR BAY,3.5398,1225,158400
1752,399,39,NEAR BAY,3.1167,1071,121600
1867,403,50,NEAR BAY,2.5401,1128,129100
2430,502,43,NEAR BAY,2.898,1537,121400
1729,414,44,NEAR BAY,2.3125,1240,102800
1026,180,52,NEAR BAY,2.875,469,160000
2170,428,52,NEAR BAY,3.3715,1086,143900
2329,445,52,NEAR BAY,3.5114,1144,151200
2492,415,52,NEAR BAY,4.3125,1109,164400
2198,397,52,NEAR BAY,3.22,984,156500
142,31,33,NEAR BAY,3.875,575,225000
1183,205,49,NEAR BAY,5.2328,496,174200
1070,193,52,NEAR BAY,3.7262,555,166900
1766,332,45,NEAR BAY,4.5893,869,163500
617,95,39,NEAR BAY,5.2578,236,253000
1411,233,41,NEAR BAY,7.0875,626,240700
2109,387,46,NEAR BAY,3.9712,922,208100
1229,243,47,NEAR BAY,2.9514,582,198100
954,217,50,NEAR BAY,2.6667,546,172800
1643,262,37,NEAR BAY,5.4446,620,336700
1355,195,34,NEAR BAY,6.2838,442,318200
2317,336,23,NEAR BAY,6.7527,955,285800
2459,317,24,NEAR BAY,7.0712,916,293000
12842,2048,22,NEAR BAY,5.9849,4985,371000
1524,260,42,NEAR BAY,3.6875,651,157300
3326,746,30,NEAR BAY,2.875,1704,135300
1985,440,43,NEAR BAY,3.4205,1085,136700
1642,322,50,NEAR BAY,3.2984,713,160700
893,177,49,NEAR BAY,3.875,468,140600
653,128,52,NEAR BAY,4.175,296,144000
1256,249,47,NEAR BAY,4.375,570,161900
977,194,48,NEAR BAY,4.7708,446,156300
2324,397,45,NEAR BAY,3.5739,968,176000
1583,349,39,NEAR BAY,3.0958,857,145800
1612,342,39,NEAR BAY,3.3958,912,141900
2424,533,31,NEAR BAY,1.871,1360,90700
1594,367,41,NEAR BAY,1.9356,1074,90600
2118,413,47,NEAR BAY,2.1842,965,107900
1575,358,37,NEAR BAY,2.2917,933,107000
1764,397,38,NEAR BAY,2.4333,987,98200
1187,261,50,NEAR BAY,1.9479,907,89500
754,175,52,NEAR BAY,3.9063,447,93800
2308,452,49,NEAR BAY,1.8407,1299,96700
909,236,27,NEAR BAY,2.0786,396,97500
1180,257,42,NEAR BAY,2.8125,877,97300
2018,408,43,NEAR BAY,1.8913,1111,91200
1368,282,49,NEAR BAY,1.7056,790,91400
2744,547,52,NEAR BAY,2.2768,1479,96200
2107,471,51,NEAR BAY,3.2552,1173,120100
1748,362,52,NEAR BAY,2.0556,1029,100000
2024,391,52,NEAR BAY,2.4659,1030,94700
1116,259,47,NEAR BAY,1.75,826,85700
2036,510,41,NEAR BAY,2.0469,1412,89300
1852,393,45,NEAR BAY,2.7159,1132,101400
921,207,41,NEAR BAY,1.2083,522,72500
995,238,45,NEAR BAY,1.925,630,74100
606,132,36,NEAR BAY,1.5809,531,70000
2680,736,37,NEAR BAY,1.4097,1925,84600
1493,370,38,NEAR BAY,0.7683,1144,81800
2207,565,19,NEAR BAY,1.3194,1481,81400
856,189,28,NEAR BAY,0.8012,435,81800
1293,297,26,NEAR BAY,1.9479,984,85800
847,212,36,NEAR BAY,1.1765,567,87100
541,154,42,NEAR BAY,2.3456,380,83500
1066,253,44,NEAR BAY,2.1538,825,79700
707,147,43,NEAR BAY,2.5139,417,83400
1528,291,45,NEAR BAY,1.2625,801,84700
909,215,42,NEAR BAY,2.9063,646,80000
1391,293,43,NEAR BAY,2.5192,855,76400
548,119,44,NEAR BAY,2.1111,435,79700
4074,874,42,NEAR BAY,2.455,2736,82400
1613,445,41,NEAR BAY,2.4028,1481,97700
463,134,47,NEAR BAY,2.15,327,97200
818,193,43,NEAR BAY,2.4776,494,101600
1473,371,43,NEAR BAY,2.1587,1231,86500
504,126,35,NEAR BAY,1.8438,323,90500
1026,226,46,NEAR BAY,3.0298,749,107600
769,183,46,NEAR BAY,2.25,693,84200
2103,391,46,NEAR BAY,2.2467,1339,88900
330,76,45,NEAR BAY,4.0469,282,80700
941,218,46,NEAR BAY,1.325,621,87100
992,260,38,NEAR BAY,1.6196,732,85100
990,261,45,NEAR BAY,2.1731,901,82000
1126,263,36,NEAR BAY,1.9167,482,82800
1036,233,43,NEAR BAY,2.069,652,84600
1047,214,36,NEAR BAY,1.712,651,82100
1280,307,33,NEAR BAY,2.5625,999,89300
1587,320,43,NEAR BAY,1.9821,907,98300
1257,271,41,NEAR BAY,2.5043,828,92300
1218,248,44,NEAR BAY,2.3281,763,88800
1751,390,48,NEAR BAY,1.4375,935,90000
2299,514,45,NEAR BAY,2.5122,1437,95500
2457,624,38,NEAR BAY,1.5625,1516,91700
998,211,47,NEAR BAY,3.1587,597,100400
1685,343,40,NEAR BAY,1.8426,949,94800
1827,307,46,NEAR BAY,4.6696,881,164300
2781,574,36,NEAR BAY,2.4598,1438,155500
1823,286,39,NEAR BAY,6.0749,763,196900
2229,365,27,NEAR BAY,4.8304,1297,279100
1513,231,34,NEAR BAY,5.5701,545,252800
3266,491,26,NEAR BAY,5.37,1222,275400
1809,261,33,NEAR BAY,6.86,808,250000
794,111,28,NEAR BAY,7.6923,329,329800
690,105,36,NEAR BAY,4.0313,299,195500
1334,200,33,NEAR BAY,6.8323,579,255900
414,54,30,NEAR BAY,4.975,137,311100
768,93,36,NEAR BAY,5.3602,229,330000
4400,666,41,NEAR BAY,5,1476,248900
954,161,46,NEAR BAY,2.925,429,142900
1445,256,40,NEAR BAY,3.8913,849,126300
1938,399,44,NEAR BAY,3.225,946,135800
856,178,41,NEAR BAY,3.1458,571,130600
1790,454,24,NEAR BAY,2.537,1137,107900
617,131,44,NEAR BAY,2.5568,378,111100
1383,275,43,NEAR BAY,3.5083,853,122000
1325,277,49,NEAR BAY,3.3125,764,118000
1227,294,40,NEAR BAY,1.8235,928,95200
667,140,35,NEAR BAY,3.8047,406,94300
1223,281,34,NEAR BAY,2.2917,824,92500
1379,287,37,NEAR BAY,2.4962,835,91800
1534,300,43,NEAR BAY,4.0417,826,109400
1029,181,46,NEAR BAY,3.4844,567,129500
771,147,52,NEAR BAY,4.1458,355,143400
824,223,47,NEAR BAY,2.625,533,98200
1097,239,44,NEAR BAY,2.0227,609,103100
1283,238,49,NEAR BAY,3.3333,576,276800
1604,263,52,NEAR BAY,5.338,594,270900
2248,422,52,NEAR BAY,3.4732,870,246200
2263,522,38,NEAR BAY,3.5125,1027,224200
1571,349,52,NEAR BAY,3.1375,693,229100
1520,402,46,NEAR BAY,2.8036,815,211600
5083,1212,15,NEAR BAY,4.5824,2420,256100
1077,293,36,NEAR BAY,3.0208,518,206300
1248,283,52,NEAR BAY,4.0875,620,221300
1342,291,42,NEAR BAY,4.5268,551,207400
3061,930,37,NEAR BAY,1.7375,2556,350000
3171,698,52,NEAR BAY,3.1795,1498,218200
1211,261,50,NEAR BAY,3.8672,523,216700
979,175,52,NEAR BAY,5.1675,374,270600
2269,380,52,NEAR BAY,5.1696,1004,261400
1844,332,52,NEAR BAY,4.2614,769,261300
2178,421,52,NEAR BAY,5.0551,940,232200
1650,274,42,NEAR BAY,5.6228,645,375400
1927,279,52,NEAR BAY,7.8864,705,357300
2079,273,52,NEAR BAY,7.9556,684,374400
1803,240,52,NEAR BAY,6.174,572,358800
2041,270,52,NEAR BAY,6.9414,671,417500
3046,373,52,NEAR BAY,8.8342,975,430500
2318,328,52,NEAR BAY,7.1754,779,362900
2003,250,52,NEAR BAY,10.0825,658,397000
2261,328,52,NEAR BAY,4.9083,819,346800
1225,169,52,NEAR BAY,5.7912,412,327100
2315,408,52,NEAR BAY,4.5893,835,290100
2070,329,52,NEAR BAY,5.4171,722,292000
2616,473,52,NEAR BAY,4.125,1085,270900
2640,366,52,NEAR BAY,7.266,973,371100
1978,293,52,NEAR BAY,5.3989,723,335600
2220,335,37,NEAR BAY,7.8336,903,371300
1125,195,41,NEAR BAY,6.1593,356,344000
3078,494,52,NEAR BAY,6.381,1005,342200
3706,531,52,NEAR BAY,6.6828,1205,370900
3000,457,37,NEAR BAY,7.5385,987,350000
2863,460,42,NEAR BAY,6.7138,1031,368600
2551,417,52,NEAR BAY,6.2425,894,391800
2255,410,52,NEAR BAY,5.7979,823,415300
3360,648,52,NEAR BAY,4.2813,1232,284900
1693,391,52,NEAR BAY,3.5417,669,287500
2252,592,44,NEAR BAY,3.0132,989,272900
2495,491,52,NEAR BAY,4.1429,1058,259600
1193,200,52,NEAR BAY,4.1912,506,254500
1172,215,52,NEAR BAY,3.9167,489,235600
2159,424,52,NEAR BAY,3.8897,824,218400
2365,490,48,NEAR BAY,3.1065,1034,229200
1895,442,46,NEAR BAY,2.9926,920,192100
1650,395,52,NEAR BAY,3.556,841,179300
453,146,45,NEAR BAY,1.475,749,187500
409,97,52,NEAR BAY,1.6971,208,138800
503,118,10,NEAR BAY,2.1705,228,150000
499,127,50,NEAR BAY,2.75,287,140600
477,119,52,NEAR BAY,2.5682,218,120000
1647,376,46,NEAR BAY,2.9,854,144800
3123,749,52,NEAR BAY,2.2208,1695,144800
957,188,52,NEAR BAY,3.2344,403,245500
589,132,52,NEAR BAY,3.5156,288,200000
2026,548,49,NEAR BAY,1.9805,963,173700
1829,536,50,NEAR BAY,2.6684,1129,185600
895,198,52,NEAR BAY,3.875,386,182600
1909,416,52,NEAR BAY,3.006,811,227900
3022,696,46,NEAR BAY,2.543,1293,220700
1777,446,46,NEAR BAY,2.8676,805,212000
2803,930,52,NEAR BAY,2.1907,1372,271400
1465,439,30,NEAR BAY,1.7778,862,268800
2619,682,37,NEAR BAY,2.52,1152,277800
1149,255,52,NEAR BAY,4.2788,483,332500
2363,604,52,NEAR BAY,2.944,1558,338900
2604,837,52,NEAR BAY,1.725,1798,287500
685,141,41,NEAR BAY,5.2289,266,384600
1756,465,42,NEAR BAY,2.5562,2184,371400
1204,460,52,NEAR BAY,0.949,2016,350000
609,236,52,NEAR BAY,1.1696,1349,500001
1087,371,52,NEAR BAY,1.4012,3337,175000
2773,998,52,NEAR BAY,1.1859,1721,241700
3218,1108,35,NEAR BAY,1.7464,1675,216700
1350,368,49,NEAR BAY,2.8846,707,211300
3084,698,52,NEAR BAY,2.7372,1424,210200
938,195,52,NEAR BAY,3.8594,393,196400
1813,353,52,NEAR BAY,3.5625,828,191700
1233,300,52,NEAR BAY,2.2788,571,182300
2539,755,44,NEAR BAY,2.537,1382,175000
1267,324,46,NEAR BAY,2.525,792,165900
1665,404,52,NEAR BAY,1.9946,815,156900
1659,367,52,NEAR BAY,2.8214,788,164300
2225,460,52,NEAR BAY,2.6165,1145,150000
2485,607,50,NEAR BAY,1.9483,1354,150500
2031,450,52,NEAR BAY,1.9327,958,169900
2932,668,49,NEAR BAY,1.9798,1361,147400
2246,472,52,NEAR BAY,2.4167,1005,152700
2052,435,49,NEAR BAY,2.5417,924,182700
1999,417,52,NEAR BAY,3.3906,780,179300
3007,691,52,NEAR BAY,2.5652,1582,157700
2214,550,41,NEAR BAY,2.2845,1213,153100
1088,305,52,NEAR BAY,2.6071,486,250000
834,186,52,NEAR BAY,3.15,494,206300
1769,372,52,NEAR BAY,2.6914,849,218800
2307,583,52,NEAR BAY,1.8447,1127,198200
5161,1744,35,NEAR BAY,1.6307,3276,253600
3497,832,52,NEAR BAY,2.9044,1493,257400
3774,744,52,NEAR BAY,2.9405,1461,289500
2888,604,52,NEAR BAY,3.3893,1253,241700
2153,517,48,NEAR BAY,3.0417,1656,489600
1389,191,52,NEAR BAY,7.0897,514,446200
1709,318,52,NEAR BAY,5.0463,719,456300
1587,444,52,NEAR BAY,1.7652,878,336800
1668,225,52,NEAR BAY,7.8521,517,500001
3726,474,52,NEAR BAY,9.3959,1366,500001
4048,663,52,NEAR BAY,5.3794,1316,376900
3618,768,52,NEAR BAY,3.2619,1508,309600
4076,920,52,NEAR BAY,2.7054,1800,182300
2077,400,47,NEAR BAY,2.2431,719,172700
1279,300,50,NEAR BAY,1.9028,675,150800
1974,426,52,NEAR BAY,1.5817,875,153600
335,83,52,NEAR BAY,2.2841,152,106300
1375,307,47,NEAR BAY,1.3785,843,142300
610,145,52,NEAR BAY,2.9018,281,119400
1025,198,44,NEAR BAY,1.73,506,147900
2063,484,48,NEAR BAY,2.2625,1054,132900
1872,419,35,NEAR BAY,2.2106,1017,132500
3108,813,52,NEAR BAY,2.6997,1623,126900
7355,2408,14,NEAR BAY,4.0018,3100,143800
2990,379,52,NEAR BAY,7.8772,947,500001
2492,310,39,NEAR BAY,11.8603,808,500001
2991,335,42,NEAR BAY,13.499,1018,500001
3242,366,52,NEAR BAY,12.2138,1001,500001
3051,381,52,NEAR BAY,8.1872,1005,466100
3494,396,52,NEAR BAY,12.3804,1192,500001
1757,246,52,NEAR BAY,5.8948,585,457800
2449,312,52,NEAR BAY,8.1194,916,471600
1611,203,52,NEAR BAY,8.7477,556,500001
3665,517,52,NEAR BAY,6.155,1470,398600
2474,403,52,NEAR BAY,5.883,1104,340700
3037,516,52,NEAR BAY,5.2128,1242,289900
2269,323,52,NEAR BAY,4.7188,805,335300
1316,177,52,NEAR BAY,5.2915,378,333000
1153,235,52,NEAR BAY,2.6411,481,241000
772,179,52,NEAR BAY,3.3214,409,189600
1711,386,52,NEAR BAY,3.6417,885,206300
2650,566,52,NEAR BAY,3.0161,1468,215700
1038,220,52,NEAR BAY,3.1771,482,210200
1527,320,52,NEAR BAY,3.4531,825,208800
859,157,52,NEAR BAY,4.3098,429,197900
970,217,52,NEAR BAY,3.3438,528,201300
1045,239,52,NEAR BAY,2.9213,496,190800
1408,280,52,NEAR BAY,2.6806,718,207900
1222,264,52,NEAR BAY,3.7708,630,215300
1169,263,45,NEAR BAY,3.9444,723,212900
2020,535,13,NEAR BAY,5.2601,959,292700
4145,869,30,NEAR BAY,2.5444,3668,275000
2038,368,42,NEAR BAY,2.6447,2037,200000
5154,,29,NEAR BAY,2.5762,3741,173400
1241,309,42,NEAR BAY,1.9427,821,102200
1468,363,52,NEAR BAY,2.9688,870,220800
3997,1073,27,NEAR BAY,3.75,1901,242800
2873,763,18,NEAR BAY,5.1702,1243,265400
1487,306,50,NEAR BAY,2.5139,730,219000
1670,350,52,NEAR BAY,2.9732,793,282100
2252,388,52,NEAR BAY,5.5337,1033,372000
1731,377,52,NEAR BAY,4.1667,872,225800
1710,481,52,NEAR BAY,2.7115,849,220800
2388,559,52,NEAR BAY,3.3269,1121,234500
2156,458,52,NEAR BAY,3.2685,872,254200
1565,315,52,NEAR BAY,4.7778,637,351800
1704,371,52,NEAR BAY,4.226,663,275000
1210,168,52,NEAR BAY,3.3571,411,405400
2097,444,52,NEAR BAY,2.9899,915,228100
1848,479,52,NEAR BAY,2.875,921,234000
955,284,43,NEAR BAY,2.3882,585,162500
4329,1110,43,NEAR BAY,2.975,2086,243400
